%CPU     %MEM    
 0.0  0.0
PSR %CPU
  0  0.0
  1  0.0
  3  0.0
  6  0.0
  3  0.0
  5  0.0
  2  0.0
%CPU     %MEM    
 133  0.2
PSR %CPU
  1  3.0
  1  0.0
  3  0.0
  6  112
  3  2.0
  2  2.0
  4  2.0
  7  0.0
  7  0.0
  5  0.0
  0  0.0
%CPU     %MEM    
 125  0.4
PSR %CPU
  1  1.5
  1  0.0
  3  0.0
  6  114
  3  1.0
  2  1.0
  4  1.0
  7  0.0
  7  0.0
  5  0.0
  0  0.0
%CPU     %MEM    
 122  0.6
PSR %CPU
  1  1.0
  1  0.0
  4  0.0
  6  115
  3  0.6
  2  0.6
  4  0.6
  7  0.0
  7  0.0
  5  0.0
  0  0.0
%CPU     %MEM    
97.2  0.7
PSR %CPU
  1  0.6
  1  0.0
  4  0.0
  6 92.8
  3  0.4
  2  0.4
  4  0.4
  7  0.0
  7  0.0
  5  0.0
  0  0.0
%CPU     %MEM    
 100  0.7
PSR %CPU
  1  0.5
  1  0.0
  4  0.0
  6 96.8
  3  0.3
  2  0.3
  4  0.3
  7  0.0
  7  0.0
  5  0.0
  0  0.0
%CPU     %MEM    
 103  0.7
PSR %CPU
  1  0.4
  3  0.0
  4  0.0
  6 99.8
  3  0.2
  2  0.2
  4  0.2
  7  0.0
  7  0.0
  5  0.0
  0  0.0
%CPU     %MEM    
 106  0.7
PSR %CPU
  2  1.1
  3  0.0
  4  0.0
  6 96.5
  7  1.0
  0  1.1
  1  1.1
%CPU     %MEM    
 108  0.7
PSR %CPU
  4  1.5
  3  0.0
  7  0.1
  4 94.7
  5  1.5
  3  1.5
  6  1.5
  7  0.0
  0  0.0
  1  0.0
  2  0.0
%CPU     %MEM    
 109  0.7
PSR %CPU
  4  1.4
  3  0.0
  7  0.1
  4 97.1
  5  1.4
  3  1.4
  6  1.4
  7  0.0
  0  0.0
  1  0.0
  2  0.0
%CPU     %MEM    
 101  0.7
PSR %CPU
  4  1.1
  3  0.0
  7  0.0
  4 90.6
  5  1.1
  3  1.1
  6  1.1
  7  0.0
  0  0.0
  1  0.0
  2  0.0
%CPU     %MEM    
 102  0.7
PSR %CPU
  4  1.0
  3  0.0
  7  0.0
  4 92.7
  5  1.0
  3  1.0
  6  1.0
  7  0.0
  0  0.0
  1  0.0
  2  0.0
%CPU     %MEM    
 103  0.7
PSR %CPU
  4  1.0
  3  0.0
  7  0.0
  4 94.5
  5  1.0
  3  1.0
  6  1.0
  7  0.0
  0  0.0
  1  0.0
  2  0.0
%CPU     %MEM    
 104  0.7
PSR %CPU
  4  0.9
  3  0.0
  7  0.0
  4 96.0
  5  0.9
  3  0.9
  6  0.9
  7  0.0
  0  0.0
  1  0.0
  2  0.0
%CPU     %MEM    
 105  0.7
PSR %CPU
  4  0.8
  3  0.0
  7  0.0
  4 97.3
  5  0.8
  3  0.8
  6  0.8
  7  0.0
  0  0.0
  1  0.0
  2  0.0
%CPU     %MEM    
 105  0.7
PSR %CPU
  4  0.8
  3  0.0
  7  0.0
  4 98.5
  5  0.8
  3  0.8
  6  0.8
  7  0.0
  0  0.0
  1  0.0
  2  0.0
%CPU     %MEM    
 101  0.7
PSR %CPU
  1  1.0
  3  0.0
  2  0.0
  1 92.4
  0  1.0
  7  1.0
  2  1.0
  4  0.0
  5  0.0
  6  0.0
  3  0.0
%CPU     %MEM    
 102  0.7
PSR %CPU
  5  1.4
  3  0.0
  4  0.0
  6 89.7
  3  1.5
  6  1.5
  7  1.5
  0  0.0
  1  0.0
  4  0.0
  2  0.0
%CPU     %MEM    
 103  0.7
PSR %CPU
  5  1.3
  3  0.0
  4  0.0
  6 91.0
  3  1.4
  6  1.4
  7  1.4
  0  0.0
  1  0.0
  4  0.0
  2  0.0
%CPU     %MEM    
 104  0.7
PSR %CPU
  4  1.5
  3  0.0
  4  0.0
  3 90.4
  6  1.6
  2  1.6
  7  1.5
%CPU     %MEM    
 105  0.7
PSR %CPU
  2  2.0
  3  0.0
  4  0.0
  2 87.4
  1  2.1
  3  2.2
  4  2.1
  0  0.0
  6  0.0
  7  0.0
  5  0.0
%CPU     %MEM    
 107  0.7
PSR %CPU
  1  2.4
  0  0.1
  4  0.0
  2 85.5
  0  2.6
  2  2.6
  4  2.5
%CPU     %MEM    
 104  0.7
PSR %CPU
  4  2.6
  0  0.1
  4  0.1
  5 80.3
  6  2.8
  5  2.9
  7  2.8
  3  0.0
  2  0.0
  0  0.0
  1  0.0
%CPU     %MEM    
 105  0.7
PSR %CPU
  5  3.0
  3  0.1
  6  0.1
  4 77.6
  6  3.4
  2  3.4
  4  3.3
%CPU     %MEM    
 107  0.7
PSR %CPU
  6  3.3
  3  0.1
  6  0.1
  6 76.3
  0  3.7
  4  3.7
  7  3.6
%CPU     %MEM    
 108  0.7
PSR %CPU
  2  3.7
  6  0.2
  6  0.1
  3 73.8
  1  4.2
  0  4.2
  3  4.2
  6  0.0
  7  0.0
  4  0.0
  5  0.0
%CPU     %MEM    
 109  0.7
PSR %CPU
  6  4.0
  6  0.2
  7  0.1
  5 73.2
  5  4.5
  3  4.4
  7  4.4
%CPU     %MEM    
 108  0.7
PSR %CPU
  0  4.3
  6  0.2
  0  0.1
  6 68.7
  2  4.8
  1  4.8
  3  4.7
%CPU     %MEM    
 109  0.7
PSR %CPU
  7  4.7
  5  0.2
  3  0.1
  5 66.7
  6  5.3
  0  5.3
  2  5.2
%CPU     %MEM    
 111  0.7
PSR %CPU
  0  5.2
  5  0.2
  0  0.2
  6 64.9
  7  5.7
  1  5.7
  6  5.6
  5  0.0
  3  0.0
  2  0.0
  6  0.0
  1  0.0
  2  0.0
  3  0.0
  6  0.0
  3  0.0
  4  0.0
  4  0.0
%CPU     %MEM    
 112  0.7
PSR %CPU
  1  5.3
  5  0.2
  1  0.2
  2 65.1
  0  5.8
  6  5.8
  3  5.8
  5  0.0
  7  0.0
  4  0.0
  2  0.0
%CPU     %MEM    
 113  0.7
PSR %CPU
  5  5.3
  6  0.2
  1  0.2
  5 66.0
  6  5.8
  0  5.8
  3  5.7
  2  0.0
  7  0.0
  4  0.0
  1  0.0
%CPU     %MEM    
 113  0.7
PSR %CPU
  3  5.4
  6  0.2
  1  0.2
  3 65.7
  5  5.9
  2  5.9
  0  5.8
  4  0.0
  1  0.0
  6  0.0
  7  0.0
%CPU     %MEM    
 112  0.7
PSR %CPU
  7  5.5
  1  0.2
  1  0.2
  0 63.2
  4  6.0
  3  6.0
  1  5.9
%CPU     %MEM    
 113  0.7
PSR %CPU
  4  5.9
  2  0.2
  1  0.2
  3 61.7
  1  6.4
  3  6.3
  6  6.3
%CPU     %MEM    
 114  0.7
PSR %CPU
  2  6.3
  4  0.2
  4  0.2
  3 60.2
  6  6.7
  4  6.7
  3  6.6
  5  0.0
  1  0.0
  2  0.0
  0  0.0
%CPU     %MEM    
 115  0.7
PSR %CPU
  7  6.6
  3  0.2
  4  0.2
  2 58.9
  0  7.0
  3  7.0
  5  6.9
%CPU     %MEM    
 117  0.7
PSR %CPU
  7  7.0
  7  0.3
  5  0.2
  3 57.6
  5  7.3
  3  7.3
  1  7.3
%CPU     %MEM    
 118  0.7
PSR %CPU
  2  7.4
  5  0.2
  5  0.2
  4 56.3
  0  7.6
  3  7.6
  4  7.6
%CPU     %MEM    
 116  0.8
PSR %CPU
  7  7.6
  7  0.3
  5  0.3
  4 53.9
  2  7.7
  3  7.7
  6  7.7
%CPU     %MEM    
 118  0.8
PSR %CPU
  6  8.0
  0  0.3
  6  0.2
  2 52.8
  4  8.0
  5  8.0
  0  8.0
%CPU     %MEM    
 119  0.8
PSR %CPU
  0  8.3
  4  0.3
  6  0.3
  1 51.8
  6  8.3
  3  8.3
  5  8.2
%CPU     %MEM    
 120  0.8
PSR %CPU
  7  8.6
  5  0.3
  0  0.3
  1 50.8
  5  8.5
  4  8.5
  2  8.4
  3  0.0
  6  0.0
  5  0.0
  1  0.0
  5  0.0
  3  0.0
%CPU     %MEM    
 120  0.8
PSR %CPU
  4  8.9
  7  0.3
  1  0.3
  6 49.9
  3  8.7
  7  8.7
  0  8.7
%CPU     %MEM    
 119  0.8
PSR %CPU
  4  9.0
  1  0.3
  4  0.3
  0 48.2
  1  8.7
  6  8.7
  3  8.7
  5  0.0
  2  0.0
  0  0.0
  7  0.0
%CPU     %MEM    
 119  0.8
PSR %CPU
  4  8.8
  1  0.3
  4  0.3
  0 49.5
  1  8.5
  6  8.5
  3  8.5
  5  0.0
  2  0.0
  0  0.0
  7  0.0
%CPU     %MEM    
 119  0.8
PSR %CPU
  4  8.7
  1  0.3
  5  0.3
  0 50.4
  3  8.4
  5  8.4
  6  8.4
%CPU     %MEM    
 119  0.8
PSR %CPU
  7  8.8
  1  0.3
  5  0.3
  1 50.6
  5  8.5
  6  8.5
  5  8.4
  4  0.0
  7  0.0
  3  0.0
  0  0.0
%CPU     %MEM    
 121  0.8
PSR %CPU
  1  9.2
  0  0.3
  2  0.3
  2 49.8
  0  8.7
  2  8.7
  5  8.7
%CPU     %MEM    
 121  0.8
PSR %CPU
  4  9.5
  7  0.3
  7  0.3
  3 49.0
  2  8.9
  4  8.9
  0  8.9
  0  0.0
  1  0.0
  6  0.0
  5  0.0
%CPU     %MEM    
 120  0.8
PSR %CPU
  0  9.5
  0  0.3
  4  0.3
  6 48.0
  2  8.8
  7  8.8
  5  8.8
  1  0.0
  6  0.0
  3  0.0
  4  0.0
%CPU     %MEM    
 120  0.8
PSR %CPU
  1  9.6
  3  0.3
  0  0.3
  6 48.0
  3  8.9
  2  8.9
  0  8.9
  7  0.0
  5  0.0
  2  0.0
  4  0.0
  4  0.0
  5  0.0
  6  0.0
  0  0.0
  4  0.0
  4  0.0
  0  0.0
%CPU     %MEM    
 121  0.8
PSR %CPU
  5  9.7
  5  0.3
  2  0.3
  6 47.8
  6  9.0
  2  9.0
  0  9.0
%CPU     %MEM    
 122  0.8
PSR %CPU
  7 10.0
  3  0.3
  3  0.3
  2 47.3
  4  9.1
  1  9.1
  0  9.1
%CPU     %MEM    
 123  0.8
PSR %CPU
  5 10.0
  0  0.3
  4  0.3
  2 47.8
  6  9.1
  1  9.1
  3  9.1
  7  0.0
  2  0.0
  0  0.0
  4  0.0
%CPU     %MEM    
 123  0.8
PSR %CPU
  1 10.1
  1  0.3
  4  0.3
  2 47.7
  0  9.1
  5  9.1
  2  9.1
  4  0.0
  6  0.0
  5  0.0
%CPU     %MEM    
 122  0.8
PSR %CPU
  1 10.2
  2  0.3
  4  0.3
  4 46.6
  2  9.1
  7  9.1
  3  9.1
%CPU     %MEM    
 123  0.8
PSR %CPU
  4 10.4
  3  0.3
  3  0.3
  2 46.2
  5  9.3
  0  9.3
  7  9.3
  6  0.0
  1  0.0
  2  0.0
  0  0.0
%CPU     %MEM    
 124  0.9
PSR %CPU
  3 10.7
  5  0.3
  5  0.3
  4 45.7
  5  9.4
  0  9.4
  6  9.4
  1  0.0
  2  0.0
  4  0.0
  7  0.0
  7  0.0
  0  0.0
  5  0.0
  6  0.0
  7  0.0
  7  0.0
  2  0.0
%CPU     %MEM    
 124  0.9
PSR %CPU
  4 10.7
  3  0.3
  1  0.3
  4 45.8
  1  9.4
  6  9.4
  0  9.4
%CPU     %MEM    
 125  0.9
PSR %CPU
  5 11.0
  7  0.3
  6  0.3
  6 45.2
  3  9.5
  4  9.5
  4  9.5
  7  0.0
  0  0.0
  2  0.0
  6  0.0
%CPU     %MEM    
 126  0.9
PSR %CPU
  1 11.0
  4  0.3
  3  0.3
  6 44.3
  4  9.4
  5  9.4
  6  9.5
  3  0.0
  2  0.0
  0  0.0
  7  0.0
%CPU     %MEM    
 125  0.9
PSR %CPU
  3 11.1
  7  0.3
  3  0.3
  6 44.1
  5  9.5
  6  9.5
  2  9.5
  1  0.0
  7  0.0
  0  0.0
  4  0.0
%CPU     %MEM    
 125  0.9
PSR %CPU
  2 11.1
  0  0.3
  3  0.3
  6 44.6
  6  9.5
  1  9.5
  4  9.5
  6  0.0
  5  0.0
  3  0.0
  7  0.0
%CPU     %MEM    
 126  0.9
PSR %CPU
  0 11.3
  4  0.4
  7  0.3
  1 44.0
  4  9.6
  7  9.6
  1  9.6
%CPU     %MEM    
 126  0.9
PSR %CPU
  5 11.4
  7  0.3
  7  0.3
  1 44.2
  0  9.6
  7  9.6
  6  9.6
