%CPU     %MEM    
 0.0  0.0
PSR %CPU
  3  0.0
  6  0.0
  4  0.0
  2  0.0
  1  0.0
  3  0.0
  4  0.0
  0  0.0
  6  0.0
  7  0.0
  3  0.0
%CPU     %MEM    
 135  0.2
PSR %CPU
  3  3.0
  6  0.0
  4  0.0
  3  111
  2  2.0
  5  2.0
  4  2.0
  1  0.0
  7  1.0
  0  0.0
  6  0.0
%CPU     %MEM    
 126  0.4
PSR %CPU
  3  1.5
  6  0.0
  4  0.0
  3  114
  2  1.0
  5  1.0
  4  1.0
  1  0.0
  7  0.5
  0  0.0
  6  0.0
%CPU     %MEM    
92.5  0.6
PSR %CPU
  3  0.7
  6  0.0
  4  0.0
  3 86.5
  2  0.5
  5  0.5
  4  0.5
  1  0.0
  7  0.2
  0  0.0
  6  0.0
%CPU     %MEM    
97.6  0.7
PSR %CPU
  3  0.6
  6  0.0
  4  0.0
  3 92.6
  2  0.4
  5  0.4
  4  0.4
  1  0.0
  7  0.2
  0  0.0
  6  0.0
%CPU     %MEM    
 100  0.7
PSR %CPU
  3  0.5
  6  0.0
  5  0.0
  3 96.8
  2  0.3
  5  0.3
  4  0.3
  1  0.0
  7  0.1
  0  0.0
  6  0.0
%CPU     %MEM    
 103  0.7
PSR %CPU
  3  0.4
  6  0.0
  5  0.0
  3 99.7
  2  0.2
  5  0.2
  4  0.2
  1  0.0
  7  0.1
  0  0.0
  6  0.0
%CPU     %MEM    
 105  0.7
PSR %CPU
  3  0.3
  6  0.0
  5  0.0
  3  102
  2  0.2
  5  0.2
  4  0.2
  1  0.0
  7  0.1
  0  0.0
  6  0.0
%CPU     %MEM    
95.7  0.7
PSR %CPU
  3  0.3
  6  0.0
  5  0.0
  3 93.3
  2  0.2
  5  0.2
  4  0.2
  1  0.0
  7  0.1
  0  0.0
  6  0.0
%CPU     %MEM    
97.5  0.7
PSR %CPU
  4  0.2
  6  0.0
  5  0.0
  3 95.3
  2  0.1
  5  0.1
  4  0.1
  1  0.0
  7  0.0
  0  0.0
  6  0.0
%CPU     %MEM    
99.2  0.7
PSR %CPU
  4  0.2
  6  0.0
  5  0.0
  3 97.1
  2  0.1
  5  0.1
  4  0.1
  1  0.0
  7  0.0
  0  0.0
  6  0.0
%CPU     %MEM    
 100  0.7
PSR %CPU
  4  0.2
  6  0.0
  5  0.0
  3 98.7
  2  0.1
  5  0.1
  4  0.1
  1  0.0
  7  0.0
  0  0.0
  6  0.0
%CPU     %MEM    
 101  0.7
PSR %CPU
  4  0.2
  6  0.0
  5  0.0
  3  100
  2  0.1
  5  0.1
  4  0.1
  1  0.0
  7  0.0
  0  0.0
  6  0.0
%CPU     %MEM    
 102  0.7
PSR %CPU
  4  0.2
  6  0.0
  5  0.0
  3  101
  2  0.1
  5  0.1
  4  0.1
  1  0.0
  7  0.0
  0  0.0
  6  0.0
%CPU     %MEM    
97.6  0.7
PSR %CPU
  4  0.1
  0  0.0
  5  0.0
  3 96.2
  2  0.1
  5  0.1
  4  0.1
  1  0.0
  7  0.0
  0  0.0
  6  0.0
%CPU     %MEM    
98.7  0.7
PSR %CPU
  4  0.1
  0  0.0
  5  0.0
  3 97.3
  2  0.1
  5  0.1
  4  0.1
  1  0.0
  7  0.0
  0  0.0
  6  0.0
%CPU     %MEM    
99.7  0.7
PSR %CPU
  4  0.1
  0  0.0
  5  0.0
  3 98.4
  2  0.1
  5  0.1
  4  0.1
  1  0.0
  7  0.0
  0  0.0
  6  0.0
%CPU     %MEM    
 101  0.7
PSR %CPU
  7  0.3
  2  0.0
  7  0.0
  3 98.2
  1  0.2
  5  0.2
  4  0.2
%CPU     %MEM    
 102  0.7
PSR %CPU
  0  0.3
  2  0.0
  7  0.0
  0 98.3
  1  0.2
  6  0.2
  4  0.2
  3  0.0
  7  0.0
  5  0.0
  2  0.0
%CPU     %MEM    
 103  0.7
PSR %CPU
  0  0.3
  2  0.0
  7  0.0
  0 99.1
  1  0.2
  6  0.2
  4  0.2
  3  0.0
  7  0.0
  5  0.0
  2  0.0
%CPU     %MEM    
 100  0.7
PSR %CPU
  7  0.5
  3  0.0
  3  0.0
  2 94.5
  0  0.3
  3  0.3
  2  0.3
  4  0.0
  6  0.0
  1  0.0
  5  0.0
%CPU     %MEM    
 101  0.7
PSR %CPU
  7  0.4
  3  0.0
  3  0.0
  2 95.4
  0  0.3
  3  0.3
  2  0.3
  4  0.0
  6  0.0
  1  0.0
  5  0.0
%CPU     %MEM    
 102  0.7
PSR %CPU
  0  0.5
  3  0.0
  3  0.0
  0 94.8
  7  0.4
  1  0.4
  6  0.4
  2  0.0
  4  0.0
  3  0.0
  5  0.0
%CPU     %MEM    
 103  0.7
PSR %CPU
  1  0.6
  3  0.0
  3  0.0
  0 94.5
  4  0.5
  0  0.5
  3  0.5
%CPU     %MEM    
 104  0.7
PSR %CPU
  1  0.7
  3  0.0
  3  0.0
  6 94.3
  2  0.6
  0  0.6
  6  0.6
  3  0.0
  5  0.0
  7  0.0
  4  0.0
%CPU     %MEM    
 105  0.7
PSR %CPU
  1  0.7
  3  0.0
  3  0.0
  6 95.1
  2  0.6
  0  0.6
  6  0.6
  3  0.0
  5  0.0
  7  0.0
  4  0.0
%CPU     %MEM    
 102  0.7
PSR %CPU
  3  0.8
  5  0.0
  4  0.0
  3 91.8
  0  0.7
  2  0.7
  1  0.6
  4  0.0
  6  0.0
  7  0.0
  5  0.0
%CPU     %MEM    
 103  0.7
PSR %CPU
  2  0.9
  5  0.0
  0  0.0
  3 91.5
  7  0.7
  6  0.8
  0  0.7
  5  0.0
  4  0.0
  1  0.0
  3  0.0
%CPU     %MEM    
 104  0.7
PSR %CPU
  1  1.0
  7  0.0
  0  0.0
  2 91.0
  5  0.9
  0  0.9
  2  0.9
%CPU     %MEM    
 105  0.7
PSR %CPU
  7  1.0
  7  0.0
  0  0.0
  5 91.3
  1  0.9
  4  0.9
  2  0.9
  0  0.0
  5  0.0
  6  0.0
  3  0.0
%CPU     %MEM    
 105  0.7
PSR %CPU
  5  1.1
  7  0.0
  2  0.0
  5 91.2
  2  1.0
  7  1.0
  0  1.0
  3  0.0
  4  0.0
  6  0.0
  1  0.0
%CPU     %MEM    
 103  0.7
PSR %CPU
  5  1.1
  7  0.0
  2  0.0
  5 89.4
  2  0.9
  7  1.0
  0  0.9
  3  0.0
  4  0.0
  6  0.0
  1  0.0
%CPU     %MEM    
 103  0.7
PSR %CPU
  5  1.0
  0  0.0
  3  0.0
  5 90.1
  2  0.9
  7  0.9
  0  0.9
  3  0.0
  4  0.0
  6  0.0
  1  0.0
%CPU     %MEM    
 104  0.7
PSR %CPU
  7  1.0
  0  0.0
  3  0.0
  5 90.7
  0  0.9
  5  0.9
  6  0.9
  4  0.0
  3  0.0
  2  0.0
  1  0.0
  5  0.0
  1  0.0
  6  0.0
  7  0.0
  0  0.0
  3  0.0
  3  0.0
%CPU     %MEM    
 105  0.7
PSR %CPU
  1  1.3
  7  0.0
  5  0.0
  3 89.6
  3  1.1
  7  1.2
  3  1.1
  7  0.0
  6  0.0
  1  0.0
  2  0.0
%CPU     %MEM    
 105  0.7
PSR %CPU
  4  1.3
  7  0.0
  5  0.0
  0 90.2
  3  1.1
  5  1.1
  0  1.1
  7  0.0
  6  0.0
  1  0.0
  2  0.0
%CPU     %MEM    
 106  0.7
PSR %CPU
  7  1.4
  0  0.0
  5  0.0
  7 90.3
  2  1.1
  0  1.2
  5  1.2
  1  0.0
  4  0.0
  3  0.0
  6  0.0
%CPU     %MEM    
 105  0.7
PSR %CPU
  5  1.6
  5  0.0
  5  0.0
  6 87.2
  4  1.3
  0  1.3
  2  1.3
  6  0.0
  4  0.0
  1  0.0
  3  0.0
  2  0.0
  1  0.0
  3  0.0
  2  0.0
  5  0.0
  5  0.0
  0  0.0
%CPU     %MEM    
 106  0.7
PSR %CPU
  5  1.7
  2  0.0
  6  0.1
  5 87.2
  3  1.4
  2  1.4
  7  1.4
  0  0.0
  6  0.0
  4  0.0
  1  0.0
%CPU     %MEM    
 106  0.7
PSR %CPU
  5  1.6
  2  0.0
  6  0.1
  5 87.8
  3  1.4
  2  1.4
  7  1.4
  0  0.0
  6  0.0
  4  0.0
  1  0.0
%CPU     %MEM    
 106  0.8
PSR %CPU
  6  1.7
  3  0.0
  7  0.1
  5 87.9
  0  1.4
  5  1.4
  2  1.4
  4  0.0
  2  0.0
  1  0.0
  7  0.0
  5  0.0
  7  0.0
  6  0.0
  7  0.0
  5  0.0
  4  0.0
  2  0.0
%CPU     %MEM    
 107  0.8
PSR %CPU
  4  1.8
  1  0.0
  7  0.1
  2 87.5
  5  1.5
  7  1.5
  3  1.5
%CPU     %MEM    
 107  0.8
PSR %CPU
  1  1.9
  1  0.1
  0  0.1
  2 87.4
  2  1.5
  4  1.5
  7  1.5
  3  0.0
  6  0.0
  5  0.0
  0  0.0
%CPU     %MEM    
 105  0.8
PSR %CPU
  1  1.8
  1  0.0
  0  0.1
  2 86.3
  2  1.4
  4  1.5
  7  1.5
  3  0.0
  6  0.0
  5  0.0
  0  0.0
%CPU     %MEM    
 105  0.8
PSR %CPU
  1  1.8
  3  0.0
  0  0.1
  2 86.9
  2  1.4
  4  1.5
  7  1.4
  3  0.0
  6  0.0
  5  0.0
  0  0.0
%CPU     %MEM    
 106  0.8
PSR %CPU
  1  1.7
  3  0.0
  1  0.1
  2 87.4
  2  1.4
  4  1.4
  7  1.4
  3  0.0
  6  0.0
  5  0.0
  0  0.0
%CPU     %MEM    
 106  0.8
PSR %CPU
  1  1.7
  3  0.0
  1  0.1
  2 88.0
  2  1.4
  4  1.4
  7  1.4
  3  0.0
  6  0.0
  5  0.0
  0  0.0
%CPU     %MEM    
 106  0.8
PSR %CPU
  4  1.8
  4  0.0
  3  0.1
  2 87.9
  2  1.4
  0  1.4
  3  1.4
  6  0.0
  1  0.0
  7  0.0
  5  0.0
%CPU     %MEM    
 107  0.8
PSR %CPU
  1  1.8
  5  0.0
  3  0.1
  2 88.0
  2  1.5
  6  1.5
  5  1.5
  4  0.0
  3  0.0
  0  0.0
  7  0.0
%CPU     %MEM    
 105  0.8
PSR %CPU
  5  1.9
  0  0.0
  1  0.1
  2 86.4
  7  1.5
  2  1.5
  4  1.5
  0  0.0
  1  0.0
  3  0.0
  6  0.0
%CPU     %MEM    
 105  0.8
PSR %CPU
  5  1.8
  0  0.0
  1  0.1
  2 86.9
  7  1.4
  2  1.5
  4  1.5
  0  0.0
  1  0.0
  3  0.0
  6  0.0
%CPU     %MEM    
 106  0.8
PSR %CPU
  5  1.9
  0  0.1
  1  0.1
  2 86.9
  3  1.5
  4  1.5
  2  1.5
  7  0.0
  0  0.0
  1  0.0
  6  0.0
%CPU     %MEM    
 106  0.8
PSR %CPU
  5  2.0
  0  0.0
  3  0.1
  2 87.0
  4  1.5
  7  1.5
  6  1.5
  0  0.0
  1  0.0
  2  0.0
  3  0.0
%CPU     %MEM    
 106  0.8
PSR %CPU
  5  1.9
  0  0.0
  4  0.1
  2 87.5
  4  1.5
  7  1.5
  6  1.5
  0  0.0
  1  0.0
  2  0.0
  3  0.0
%CPU     %MEM    
 105  0.8
PSR %CPU
  5  2.0
  0  0.0
  4  0.1
  5 86.1
  0  1.5
  4  1.5
  7  1.5
  3  0.0
  2  0.0
  6  0.0
  1  0.0
%CPU     %MEM    
 105  0.8
PSR %CPU
  5  1.9
  0  0.0
  4  0.1
  5 86.6
  0  1.5
  4  1.5
  7  1.5
  3  0.0
  2  0.0
  6  0.0
  1  0.0
%CPU     %MEM    
 106  0.8
PSR %CPU
  0  2.0
  0  0.0
  4  0.1
  5 86.5
  5  1.5
  1  1.5
  2  1.5
%CPU     %MEM    
 106  0.8
PSR %CPU
  7  2.1
  0  0.0
  4  0.1
  5 86.4
  6  1.5
  4  1.6
  1  1.5
  5  0.0
  3  0.0
  0  0.0
  2  0.0
%CPU     %MEM    
 106  0.8
PSR %CPU
  0  2.1
  0  0.0
  4  0.1
  5 86.5
  2  1.6
  5  1.6
  3  1.6
  1  0.0
  7  0.0
  6  0.0
  4  0.0
%CPU     %MEM    
 106  0.8
PSR %CPU
  0  2.1
  2  0.0
  4  0.1
  5 87.0
  2  1.6
  5  1.6
  3  1.6
  1  0.0
  7  0.0
  6  0.0
  4  0.0
%CPU     %MEM    
 105  0.8
PSR %CPU
  1  2.1
