mean,1.0,5.0,5.0,0.0,0.0,0.5,1.0,0.5,0.666666666667
mean,2.0,5.0,4.0,1.0,0.0,0.555555555556,1.0,0.6,0.714285714286
mean,2.5,4.0,1.0,4.0,1.0,0.8,0.8,0.8,0.8
mean,3.0,1.0,0.0,5.0,4.0,1.0,0.2,0.6,0.333333333333
mean,3.5,0.0,0.0,5.0,5.0,None,0.0,0.5,None
mean,4.0,0.0,0.0,5.0,5.0,None,0.0,0.5,None
mean,4.5,0.0,0.0,5.0,5.0,None,0.0,0.5,None
mean,5.0,0.0,0.0,5.0,5.0,None,0.0,0.5,None
max,1.0,0.0,0.0,5.0,5.0,None,0.0,0.5,None
max,2.0,0.0,0.0,5.0,5.0,None,0.0,0.5,None
max,2.5,0.0,0.0,5.0,5.0,None,0.0,0.5,None
max,3.0,0.0,0.0,5.0,5.0,None,0.0,0.5,None
max,3.5,0.0,0.0,5.0,5.0,None,0.0,0.5,None
max,4.0,0.0,0.0,5.0,5.0,None,0.0,0.5,None
max,4.5,0.0,0.0,5.0,5.0,None,0.0,0.5,None
max,5.0,0.0,0.0,5.0,5.0,None,0.0,0.5,None
