%CPU     %MEM    
12.0  0.1
PSR %CPU
  2  1.0
  3  0.0
  1  0.0
  3  6.0
  1  0.0
  0  1.0
  1  0.0
%CPU     %MEM    
64.5  0.1
PSR %CPU
  2  0.5
  3  0.0
  1  0.0
  3 62.0
  1  0.0
  0  0.5
  1  0.0
%CPU     %MEM    
81.6  0.1
PSR %CPU
  2  9.3
  3  0.0
  1  0.0
  3 63.6
  2  0.3
  0  0.3
  0  0.0
  0  0.0
  1  0.0
  1  0.0
%CPU     %MEM    
89.2  0.1
PSR %CPU
  0  9.0
  0  0.0
  1  0.0
  3 47.7
  2  2.0
  3  0.5
  0  0.2
  1  0.0
  1  0.0
  0  0.0
%CPU     %MEM    
93.4  0.1
PSR %CPU
  0  8.4
  1  0.0
  1  0.0
  3 42.0
  2  1.8
  0  1.0
  1  0.6
  1  0.0
  2  0.0
  3  0.0
%CPU     %MEM    
82.7  0.1
PSR %CPU
  0  6.4
  2  0.0
  1  0.0
  3 40.1
  2  1.5
  0  0.8
  1  0.5
%CPU     %MEM    
86.7  0.1
PSR %CPU
  0  6.3
  2  0.0
  1  0.0
  3 35.1
  2  1.3
  0  0.8
  1  0.6
  2  0.0
  2  0.0
  1  0.0
%CPU     %MEM    
89.3  0.1
PSR %CPU
  0  6.1
  2  0.0
  1  0.0
  3 33.5
  2  1.4
  0  1.1
  1  0.6
  1  0.0
  2  0.0
  1  0.0
%CPU     %MEM    
91.8  0.1
PSR %CPU
  0  5.6
  2  0.0
  1  0.0
  3 30.2
  2  1.4
  1  1.1
  1  0.7
  1  0.0
  2  0.0
  3  0.0
%CPU     %MEM    
93.8  0.1
PSR %CPU
  0  5.1
  2  0.0
  1  0.0
  3 27.4
  0  1.4
  1  1.1
  0  0.7
  2  0.0
  1  0.0
  0  0.0
%CPU     %MEM    
95.0  0.1
PSR %CPU
  1  4.9
  2  0.0
  1  0.0
  3 25.2
  2  1.4
  0  1.2
  1  0.7
  1  0.0
  3  0.0
  0  0.0
%CPU     %MEM    
89.8  0.1
PSR %CPU
  1  4.2
  2  0.0
  1  0.0
  3 21.6
  2  1.2
  0  1.0
  3  0.7
  2  0.0
  0  0.0
  1 22.0
%CPU     %MEM    
91.2  0.1
PSR %CPU
  1  4.0
  2  0.0
  1  0.0
  3 20.2
  2  1.2
  0  1.0
  3  0.7
  3  0.0
  3  0.0
  0 98.0
%CPU     %MEM    
91.2  0.1
